,Unnamed: 0,label,msisdn,aon,daily_decr30,daily_decr90,rental30,rental90,last_rech_date_ma,last_rech_date_da,last_rech_amt_ma,cnt_ma_rech30,fr_ma_rech30,sumamnt_ma_rech30,medianamnt_ma_rech30,medianmarechprebal30,cnt_ma_rech90,fr_ma_rech90,sumamnt_ma_rech90,medianamnt_ma_rech90,medianmarechprebal90,cnt_da_rech30,fr_da_rech30,cnt_da_rech90,fr_da_rech90,cnt_loans30,amnt_loans30,maxamnt_loans30,medianamnt_loans30,cnt_loans90,amnt_loans90,maxamnt_loans90,medianamnt_loans90,payback30,payback90,pcircle,pdate
54357,54358,1,80470I88689,1586.0,11680.0,16717.3,4291.39,4931.65,9.0,0.0,1539,3,13.0,5387.0,1539.0,77.4299999999998,7,5,12313,1539.0,57.430000000000106,0.0,0.0,0,0,4,24,6.0,0.0,10.0,60,6,0.0,5.0,5.55555555555556,UPW,2016-08-08
25804,25805,1,32932I85328,332.0,2892.3416666666603,2918.41,150.0,180.0,19.0,0.0,7526,1,0.0,7526.0,7526.0,4.0,2,12,15052,7526.0,2.0,0.0,0.0,0,0,1,12,12.0,0.0,1.0,12,12,0.0,0.0,0.0,UPW,2016-07-05
46464,46465,1,89010I70785,298.0,5593.334,5606.91,2822.79,3451.11,2.0,0.0,2309,6,0.0,7704.0,773.0,49.6,6,0,7704,773.0,49.6,0.0,0.0,0,0,5,30,6.0,0.0,5.0,30,6,0.0,30.0,30.0,UPW,2016-07-08
47895,47896,1,37046I82730,1948.0,32.1906666666667,32.1906666666667,122.08,122.08,3.0,0.0,773,6,1.0,4638.0,773.0,25.88,7,1,5411,773.0,24.38,0.0,0.0,0,0,2,12,6.0,0.0,2.0,12,6,0.0,4.5,4.5,UPW,2016-06-14
201783,201784,1,26090I82737,988.0,8394.64666666668,8423.970000000021,12972.49,14308.69,1.0,0.0,7526,4,1.0,17161.0,3855.5,964.0,5,10,22948,5787.0,850.0,0.0,0.0,0,0,1,12,12.0,0.0,1.0,12,12,0.0,0.0,46.5,UPW,2016-07-10
172786,172787,1,05912I89238,2075.0,2203.00266666667,2230.13,701.57,1140.33,7.0,0.0,1539,2,10.0,3078.0,1539.0,63.6600000000001,4,8,7795,1539.0,22.1600000000001,0.0,0.0,0,0,3,18,6.0,0.0,5.0,30,6,1.0,3.0,3.75,UPW,2016-07-14
186487,186488,1,82395I90848,846.0,1000.0,1000.0,99.56,99.56,1.0,0.0,770,1,0.0,770.0,770.0,82.0,1,0,770,770.0,82.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-08-18
100165,100166,1,08581I90849,635.0,8081.8769999999995,8158.59000000001,1133.09,1679.09,6.0,42.0,2309,4,10.0,6542.0,1731.5,25.5,7,1,11544,1539.0,25.0,0.0,0.0,1,0,5,30,6.0,0.0,8.0,48,6,0.0,5.75,5.25,UPW,2016-07-21
87531,87532,1,58767I90581,1779.0,3.22833333333333,3.22833333333333,63.5,63.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-05
133651,133652,1,04830I89230,726.0,85.32,85.32,1729.44,1729.44,10.0,0.0,5787,2,3.0,7326.0,3663.0,47.0,3,42,8273,1539.0,16.5,0.0,0.0,0,0,4,24,6.0,0.0,4.0,24,6,0.0,3.6666666666666696,3.6666666666666696,UPW,2016-06-18
18979,18980,1,53703I95201,393.0,36.810666666666705,36.810666666666705,116.0,116.0,10.0,0.0,1539,2,16.0,3078.0,1539.0,576.7,3,40,4625,1539.0,160.7,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-29
58165,58166,1,96280I70370,512.0,22567.0,31235.140000000098,4456.01,6942.62,2.0,0.0,1539,6,6.0,11544.0,1924.0,23.5,12,1,27239,1539.0,20.0,0.0,0.0,0,0,6,60,12.0,0.0,11.0,90,12,0.0,3.8333333333333304,3.3333333333333304,UPW,2016-08-12
65946,65947,1,20630I85330,218.0,107.24,107.24,1116.6,1116.6,1.0,0.0,7526,1,0.0,7526.0,7526.0,7.5,1,0,7526,7526.0,7.5,0.0,0.0,0,0,2,12,6.0,0.5,2.0,12,6,0.5,1.0,1.0,UPW,2016-06-15
74981,74982,1,96851I88649,541.0,5596.666666666661,5644.99999999999,1878.58,2521.18,1.0,0.0,1539,5,9.0,8672.0,1539.0,47.599999999999895,8,0,20081,1543.0,49.6,0.0,0.0,0,0,4,24,6.0,0.5,5.0,30,6,0.0,2.75,2.6,UPW,2016-07-10
78487,78488,1,90656I89235,839.0,29674.0,42783.2700000001,5694.12,15541.27,2.0,0.0,2309,2,14.0,10309.0,5154.5,31.6000000000001,7,4,39996,8000.0,18.1000000000004,0.0,0.0,0,0,3,30,12.0,0.0,7.0,54,12,0.0,11.0,6.83333333333333,UPW,2016-08-11
104503,104504,0,78877I70373,-9.0,1500.0,1500.0,200.13,200.13,1.0,0.0,1539,1,0.0,1539.0,1539.0,11.0,1,0,1539,1539.0,11.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-07-10
209138,209139,1,92176I90848,717.0,21.53,21.53,295.65,295.65,2.0,0.0,773,3,7.0,2319.0,773.0,3.9800000000000204,3,7,2319,773.0,3.9800000000000204,0.0,0.0,0,0,2,12,6.0,0.0,2.0,12,6,0.0,0.0,0.0,UPW,2016-06-15
196527,196528,0,69295I85330,1112.0,0.0,0.0,5697.36,5697.36,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-18
170772,170773,1,21129I84459,400.0,900.0,900.0,734.9299999999989,826.279999999999,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-07-07
98403,98404,1,47440I90848,414.0,829.5576666666659,849.509999999999,112.93,147.3,11.0,0.0,1539,4,3.0,3858.0,773.0,17.0,4,3,3858,773.0,17.0,0.0,0.0,0,0,2,12,6.0,0.0,2.0,12,6,0.0,0.0,0.0,UPW,2016-07-07
52642,52643,1,31163I85350,698.0,3000.0,3000.0,298.68,298.68,1.0,0.0,770,3,0.0,2310.0,770.0,63.0,3,0,2310,770.0,63.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-08-17
177697,177698,0,89608I95207,100.0,1021.6,1054.0,4764.07999999999,5388.49999999999,21.0,0.0,2309,3,1.0,3855.0,773.0,48.5,4,5,5402,1160.0,35.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-07-18
86335,86336,1,46606I91197,293.0,780.214666666666,785.7299999999989,900.58,943.500000000001,1.0,0.0,2309,4,9.0,7696.0,1924.0,78.5,4,9,7696,1924.0,78.5,0.0,0.0,0,0,3,18,6.0,0.0,3.0,18,6,0.0,2.3333333333333304,2.3333333333333304,UPW,2016-07-02
97012,97013,1,89189I85320,1218.0,68.3333333333333,68.3333333333333,3661.4,3661.4,15.0,0.0,11874,1,0.0,11874.0,11874.0,2235.17,1,0,11874,11874.0,2235.17,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-20
88298,88299,0,22975I90583,1051.0,10017.7566666667,10058.95,1280.08,1316.48,3.0,0.0,8000,4,6.0,31526.0,8000.0,238.41,6,34,47526,8000.0,438.41,0.0,0.0,0,0,2,12,6.0,0.0,2.0,12,6,0.0,0.0,0.0,UPW,2016-07-04
180814,180815,0,25816I90581,100.0,901.68,906.3000000000011,41.76,156.6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-07-22
40730,40731,1,20350I90845,839.0,1335.1,1340.5,1904.44,2008.2,3.0,0.0,770,4,4.0,4618.0,1154.5,22.6,4,4,4618,1154.5,22.6,0.0,0.0,0,0,4,24,6.0,0.0,4.0,24,6,0.0,16.0,16.0,UPW,2016-07-04
96235,96236,1,08018I90588,403.0,601.184000000001,603.880000000001,1813.08,1875.6,21.0,0.0,4048,2,5.0,8096.0,4048.0,4.0,2,5,8096,4048.0,4.0,0.0,0.0,0,0,2,12,6.0,0.0,2.0,12,6,0.0,14.0,14.0,UPW,2016-07-01
63901,63902,1,21427I85349,797414.769884199,0.966666666666667,0.966666666666667,42.41,42.41,2.0,0.0,773,2,4.0,1546.0,773.0,124.9,3,30,1719,773.0,131.4,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-01
166434,166435,1,47271I90585,582.0,810.0,810.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6,6.0,2.0,1.0,6,6,2.0,0.0,0.0,UPW,2016-08-17
1657,1658,1,46127I89234,1074.0,9972.636,10108.1746666667,3689.8,4324.0,12.0,0.0,2309,9,1.0,16931.0,1539.0,68.6100000000001,15,1,32524,2309.0,68.6100000000001,0.0,0.0,0,0,1,12,12.0,0.0,1.0,12,12,0.0,0.0,0.0,UPW,2016-07-23
62432,62433,1,08053I95204,135.0,31.715,31.715,488.25,488.25,1.0,0.0,1539,1,0.0,1539.0,1539.0,69.0,1,0,1539,1539.0,69.0,0.0,0.0,0,0,2,12,6.0,0.0,2.0,12,6,0.0,4.5,4.5,UPW,2016-06-05
193273,193274,1,65041I95202,55.0,5.8,5.8,733.14,733.14,1.0,0.0,773,1,0.0,773.0,773.0,10.0,1,0,773,773.0,10.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-06
24021,24022,1,85526I90845,442.0,16009.7663333333,16144.09,2679.26,4114.71,3.0,0.0,3178,5,4.0,19469.0,3178.0,24.5,8,7,26598,3178.0,30.75,0.0,0.0,0,0,3,30,12.0,0.0,5.0,42,12,0.0,5.66666666666667,8.8,UPW,2016-07-19
79823,79824,1,76996I88650,887.0,1.7966666666666697,1.7966666666666697,80.01,80.01,43.0,0.0,1547,0,0.0,0.0,0.0,0.0,1,0,1547,1547.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-07
147469,147470,1,40191I84458,1121.0,16716.0,26377.69,2635.33,4343.08,1.0,0.0,3178,9,1.0,15591.0,1539.0,60.97,23,3,35788,1539.0,29.97,0.0,0.0,0,0,1,6,6.0,0.0,6.0,42,12,0.0,4.0,3.5,UPW,2016-08-15
95142,95143,1,61680I70781,647.0,17895.0483333333,17943.64,16790.59,20835.34,4.0,0.0,1539,11,2.0,15391.0,1539.0,52.27,16,4,21559,1539.0,5.930000000000059,0.0,0.0,0,0,9,54,6.0,0.0,12.0,72,6,0.0,2.125,2.9166666666666696,UPW,2016-07-25
39117,39118,1,79761I84452,1825.0,82.9226666666667,82.9226666666667,1573.52,1573.52,1.0,0.0,1539,16,1.0,12099.0,773.0,18.5,16,1,12099,773.0,18.5,0.0,0.0,0,0,10,60,6.0,0.0,10.0,60,6,0.0,2.45454545454545,2.45454545454545,UPW,2016-06-26
50358,50359,1,36264I90842,514.0,5195.64666666667,5243.97000000001,760.26,940.26,3.0,0.0,1539,8,1.0,13852.0,1539.0,401.5,12,3,20024,1539.0,337.0,0.0,0.0,0,0,3,18,6.0,0.0,4.0,24,6,0.0,1.0,1.33333333333333,UPW,2016-07-10
171193,171194,1,83375I70780,243.0,18398.082666666698,18654.06,5554.9,7179.16,2.0,0.0,2309,10,1.0,13857.0,1539.0,57.0,23,2,38662,1539.0,46.0,0.0,0.0,0,0,10,102,12.0,0.0,26.0,198,12,0.0,2.88888888888889,2.04,UPW,2016-07-22
157189,157190,1,71460I88649,759.0,5309.0,6910.59999999999,2994.33,4062.25,6.0,0.0,770,2,1.0,1540.0,770.0,97.6,6,27,6166,770.0,234.6,0.0,0.0,0,0,3,24,12.0,0.0,4.0,30,12,0.0,11.0,8.66666666666667,UPW,2016-08-04
156981,156982,1,48881I90586,428.0,2500.0,2508.00000000001,2429.12,2797.22,1.0,0.0,770,3,21.0,2310.0,770.0,51.0,4,36,3083,770.0,44.5,0.0,0.0,0,0,3,18,6.0,1.0,4.0,24,6,0.5,15.0,20.75,UPW,2016-08-08
203325,203326,1,35231I82732,143.0,1617.01833333333,1636.05,8505.0,8581.0,18.0,0.0,1539,1,0.0,1539.0,1539.0,73.1700000000001,4,11,6164,1539.0,36.6700000000001,0.0,0.0,0,0,1,6,6.0,0.0,3.0,18,6,0.0,0.0,9.0,UPW,2016-07-19
33410,33411,1,92967I70375,593.0,104.51833333333299,104.51833333333299,426.69,426.69,1.0,0.0,1539,6,1.0,11725.0,2014.5,18.5,6,1,11725,2014.5,18.5,0.0,0.0,0,0,4,24,6.0,0.0,4.0,24,6,0.0,3.6,3.6,UPW,2016-06-11
168172,168173,1,01065I82739,653.0,55.281000000000006,55.281000000000006,1588.23,1588.23,3.0,0.0,2309,2,11.0,3856.0,1928.0,789.2,3,32,7049,2309.0,149.7,0.0,0.0,0,0,3,18,6.0,0.0,3.0,18,6,0.0,3.0,3.0,UPW,2016-06-09
140241,140242,0,05604I88649,479.0,506.555000000001,508.550000000001,23.0,30.0,20.0,0.0,770,1,0.0,770.0,770.0,36.4,1,0,770,770.0,36.4,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-07-07
49452,49453,1,12487I82730,1212.0,8.72166666666667,8.72166666666667,30.0,30.0,9.0,0.0,947,1,0.0,947.0,947.0,1.2000000000000501,1,0,947,947.0,1.2000000000000501,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-05
98825,98826,1,50194I90849,826.0,7955.41,8049.1000000000095,6450.16,8814.28,4.0,0.0,1539,3,1.0,6256.0,1539.0,88.5,9,3,20612,1539.0,65.5,0.0,0.0,0,0,4,24,6.0,0.0,9.0,54,6,0.0,4.0,3.25,UPW,2016-07-27
110999,111000,1,11460I84451,401.0,5.16666666666667,5.16666666666667,411.5,411.5,12.0,0.0,1547,1,0.0,1547.0,1547.0,93.0,1,0,1547,1547.0,93.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-10
88486,88487,1,20395I90848,834.0,7109.0,7421.010000000009,699.95,9825.72,3.0,0.0,1539,4,0.0,5387.0,1539.0,14.8699999999999,17,0,19047,773.0,26.03,0.0,0.0,0,0,4,24,6.0,0.0,18.0,108,6,0.0,7.25,3.7058823529411806,UPW,2016-08-01
144374,144375,1,86066I89238,1413.0,5032.7,5034.44,4067.19,4668.29,2.0,0.0,1547,3,0.0,3093.0,773.0,21.8,4,0,4640,1160.0,21.8,0.0,0.0,0,0,2,18,12.0,0.0,2.0,18,12,0.0,76.5,76.5,UPW,2016-07-05
179559,179560,1,66280I95201,174.0,18746.0,18847.93,3047.77,3847.27,3.0,0.0,1539,5,6.0,13387.0,1539.0,22.3299999999999,9,2,19543,1539.0,62.32999999999989,0.0,641911.57091409,0,0,3,36,12.0,0.0,4.0,48,12,0.0,5.33333333333333,5.33333333333333,UPW,2016-07-30
157100,157101,0,43814I70379,-23.0,6.93333333333333,6.93333333333333,2467.4,2467.4,1.0,0.0,773,1,0.0,773.0,773.0,37.0,1,0,773,773.0,37.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-26
14971,14972,1,49649I84453,1566.0,7380.0,14031.71,12866.58,18986.9799999999,3.0,0.0,1539,3,3.0,4617.0,1539.0,23.0999999999999,9,6,13851,1539.0,45.099999999999895,0.0,0.0,0,0,3,18,6.0,0.0,6.0,36,6,0.0,5.33333333333333,8.0,UPW,2016-08-14
26143,26144,0,31908I82730,187.0,2.6666666666666696,2.6666666666666696,9.7,9.7,4.0,0.0,773,1,0.0,773.0,773.0,3.0,1,0,773,773.0,3.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-10
34488,34489,1,85261I82735,788.0,59.84,59.84,165.66,165.66,16.0,0.0,8000,1,0.0,8000.0,8000.0,42.239999999999796,2,43,15400,7700.0,29.2399999999998,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-22
109558,109559,1,21600I90586,252.0,1435.7846666666699,1444.07,1677.62,2251.46,8.0,0.0,770,3,11.0,2313.0,770.0,5.29999999999995,9,1,4551,770.0,9.29999999999995,0.0,0.0,0,0,3,18,6.0,0.0,4.0,24,6,0.0,10.3333333333333,8.75,UPW,2016-07-08
23070,23071,1,02232I84459,497.0,6400.0,6400.0,707.54,707.54,2.0,0.0,770,4,10.0,5387.0,1539.0,41.6300000000001,5,71,6334,1539.0,52.6300000000001,0.0,0.0,0,0,3,18,6.0,0.0,3.0,18,6,0.0,22.3333333333333,22.3333333333333,UPW,2016-07-21
24157,24158,1,05893I90845,539.0,2812.09333333334,2850.1400000000103,816.0,1224.0,14.0,0.0,2309,3,7.0,5391.0,2309.0,34.0,6,11,11062,2309.0,91.5,0.0,0.0,0,0,3,18,6.0,0.0,4.0,24,6,0.0,3.0,2.3333333333333304,UPW,2016-07-10
138163,138164,1,25859I90849,812.0,5988.0,6014.20999999999,995.91,2163.21,27.0,0.0,3178,1,0.0,3178.0,3178.0,0.5999999999999089,3,30,5875,1924.0,61.6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,UPW,2016-07-31
147166,147167,1,11134I84453,347.0,14.166666666666698,14.166666666666698,6161.75,6161.75,4.0,0.0,770,2,14.0,1543.0,771.5,54.5,2,14,1543,771.5,54.5,0.0,0.0,0,0,2,12,6.0,0.0,2.0,12,6,0.0,87.5,87.5,UPW,2016-06-25
37132,37133,1,82240I95204,176.0,3272.0,3289.82,2064.03,2124.03,1.0,0.0,770,4,6.0,3849.0,770.0,151.5,6,8,6935,1154.5,85.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-08-03
114457,114458,0,90515I70371,522516.13838598103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-15
22460,22461,0,39169I89232,1049.0,1000.0,1000.0,5175.72,6965.34,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-07-14
101714,101715,1,42910I89238,174.0,23835.0,32521.1,3667.38,6434.68,2.0,0.0,1539,13,1.0,20011.0,1539.0,13.0,31,1,49670,1539.0,14.0,0.0,0.0,0,0,2,12,6.0,0.0,2.0,12,6,0.0,0.0,0.0,UPW,2016-08-08
26327,26328,1,73704I88658,434.0,313.932666666667,313.932666666667,-389.22,-389.22,5.0,0.0,8000,2,9.0,16000.0,8000.0,34.3999999999996,2,9,16000,8000.0,34.3999999999996,0.0,0.0,0,0,3,18,6.0,0.0,3.0,18,6,0.0,4.66666666666667,4.66666666666667,UPW,2016-06-26
175327,175328,1,70193I90583,491.0,1481.608,1485.76,4785.6,5982.0,17.0,0.0,1539,1,0.0,1539.0,1539.0,129.5,2,21,4732,2366.0,269.0,0.0,0.0,0,0,1,6,6.0,1.0,2.0,12,6,0.5,0.0,9.5,UPW,2016-07-06
117429,117430,1,32218I82730,1009.0,3872.0,3894.31,395.24,455.24,605755.219701678,0.0,770,4,5.0,3083.0,770.0,140.9,4,5,3083,770.0,140.9,0.0,0.0,0,0,2,12,6.0,0.0,2.0,12,6,0.0,0.0,0.0,UPW,2016-07-30
168889,168890,1,12141I70780,417.0,750.0,750.0,8995.95,9665.95999999999,3.0,0.0,770,1,964002.691674978,770.0,770.0,0.0,1,0,770,770.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-07-11
65657,65658,1,65917I70789,127.0,7840.0,7943.0,8543.12,15209.18,2.0,0.0,1539,6,1.0,7696.0,1539.0,90.5,15,1,16944,773.0,18.0,0.0,0.0,0,0,4,24,6.0,0.0,5.0,30,6,0.0,6.5,6.5,UPW,2016-08-01
31362,31363,1,66028I85328,721.0,947.733333333334,955.480000000001,997.749999999999,1197.3,13.0,0.0,1539,2,8.0,3078.0,1539.0,61.82999999999989,4,39,5564,1539.0,43.82999999999989,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-07-05
72921,72922,0,66035I90588,2011.0,1.15,1.15,0.0,0.0,8.0,0.0,2320,1,0.0,2320.0,2320.0,87.15000000000009,2,31,2493,1246.5,120.65,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-03
161762,161763,0,07559I84459,144.0,0.0,0.0,169.59,169.59,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-03
149204,149205,0,98178I85350,225.0,21.5666666666667,31.3666666666667,13.44,40.32,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-07-23
116730,116731,1,13208I82738,1960.0,6991.8,7055.40000000001,8627.35000000001,9724.75000000002,1.0,0.0,1539,5,10.0,8465.0,1539.0,44.67000000000011,9,10,14807,1539.0,44.67000000000011,0.0,0.0,0,0,4,24,6.0,0.0,7.0,42,6,0.0,2.75,2.375,UPW,2016-07-20
28142,28143,1,02474I90587,917.0,144.236333333333,144.236333333333,2265.48,2265.48,2.0,0.0,770,10,3.0,12326.0,1156.0,49.199999999999896,13,2,16367,1539.0,47.1999999999998,0.0,0.0,0,0,9,54,6.0,0.0,9.0,54,6,0.0,3.375,3.375,UPW,2016-06-29
161036,161037,1,62335I89238,510.0,9100.039,9118.39000000001,1792.04,2238.62,3.0,0.0,770,4,6.0,5388.0,1347.0,24.0,6,6,8082,1347.0,24.0,0.0,0.0,0,0,5,30,6.0,0.0,6.0,36,6,0.0,4.75,8.0,UPW,2016-07-27
126719,126720,1,83308I89233,1866.0,135.4,135.4,4286.4,4286.4,3.0,0.0,2309,11,0.0,12341.0,773.0,20.17,15,0,14833,773.0,29.17,0.0,0.0,0,0,7,42,6.0,0.0,8.0,48,6,0.0,3.28571428571429,3.75,UPW,2016-06-30
132959,132960,1,73511I84455,952.0,103.42,103.42,3871.8,3871.8,3.0,0.0,3178,8,6.0,18199.0,1539.0,19.3299999999999,8,6,18199,1539.0,19.3299999999999,0.0,0.0,0,0,1,6,6.0,0.0,1.0,6,6,0.0,0.0,0.0,UPW,2016-06-30
75462,75463,1,74439I90582,555.0,6458.0,7738.41,2065.04,2221.6,6.0,0.0,1539,3,9.0,3848.0,1539.0,61.0,6,27,6933,1156.0,44.0,0.0,0.0,0,0,4,24,6.0,0.0,4.0,24,6,0.0,4.66666666666667,4.66666666666667,UPW,2016-08-08
12868,12869,1,48995I88688,965.0,8433.32,8463.2,608.53,689.53,13.0,0.0,2309,2,6.0,6357.0,3178.5,252.65,3,14,10405,4048.0,230.15,0.0,0.0,0,0,1,6,6.0,0.0,2.0,12,6,0.0,0.0,0.0,UPW,2016-07-27
62191,62192,1,33218I92863,228.0,34383.2773333333,34547.58,5421.04,6451.9399999999905,1.0,0.0,2309,14,1.0,33494.0,2309.0,56.0,25,2,56371,2309.0,53.0,0.0,0.0,0,0,12,72,6.0,0.0,19.0,114,6,0.0,1.54545454545455,1.77777777777778,UPW,2016-07-26
